FID,Region,Country,Plant,NumReactor,Latitude,Longitude,p90_1200,p00_1200,p10_1200,p90u_1200,p00u_1200,p10u_1200,p90r_1200,p00r_1200,p10r_1200,p90_30,p00_30,p10_30,p90u_30,p00u_30,p10u_30,p90r_30,p00r_30,p10r_30,p90_75,p00_75,p10_75,p90u_75,p00u_75,p10u_75,p90r_75,p00r_75,p10r_75,p90_150,p00_150,p10_150,p90u_150,p00u_150,p10u_150,p90r_150,p00r_150,p10r_150,p90_600,p00_600,p10_600,p90u_600,p00u_600,p10u_600,p90r_600,p00r_600,p10r_600,p90_300,p00_300,p10_300,p90u_300,p00u_300,p10u_300,p90r_300,p00r_300,p10r_300
0,Europe - Western,SWEDEN,AGESTA,1,59.206022,18.082872,187382000,188684000,188250000,121178000,122299000,122399000,66203700,66384500,65851300,1290370,1430100,1500960,1210110,1338190,1404630,80258.1,91914.8,96332.4,1749300,1943540,2039670,1477160,1637730,1719060,272143,305814,320612,2615240,2819430,2958820,2020420,2186500,2295030,594825,632932,663787,27278800,27487400,27970900,18450800,18654200,18998400,8828010,8833200,8972550,5013240,5227700,5471110,3426880,3596030,3764920,1586350,1631670,1706190
1,Europe - Western,SPAIN,ALMARAZ,2,39.8081,-5.69694,136675000,147718000,163429000,87539700,93943200,103704000,49135800,53774400,59724600,48345.2,47108.5,53055.4,12804,12465.8,14039.9,35541.2,34642.7,39015.5,387982,380366,427595,97305.1,97451.7,109541,290677,282915,318054,1780790,1760250,1976690,539007,532195,599150,1241780,1228060,1377540,45748100,47356200,52724300,28920000,29888800,33270600,16828100,17467400,19453700,17756500,18187800,20185200,10986000,11415400,12689800,6770480,6772380,7495340
2,America - Latin,BRAZIL,ANGRA,3,-23.007857,-44.458098,99195200,113894000,127898000,67751500,77821400,87432200,31443800,36072700,40465800,129499,136945,153022,89127.7,94205.3,105253,40371.8,42739.8,47768.4,1185920,1269060,1420200,861635,920939,1030750,324285,348119,389459,12729100,13810300,15497100,10771500,11649400,13075800,1957570,2160900,2421330,63210700,71962200,80782600,48667100,55354300,62177000,14543600,16607900,18605600,39546400,44701700,50210600,32788500,37064600,41648300,6757940,7637110,8562300
3,America - Northern,UNITED STATES OF AMERICA,ARKANSAS ONE,2,35.31032,-93.231289,117830000,132729000,146482000,92609500,104781000,115697000,25220200,27947300,30785400,75433.4,83087.4,91498,50851.5,55904.9,61560,24581.9,27182.5,29938,197016,218462,240679,106094,117525,129456,90921.7,100937,111223,1638330,1835830,2025750,1135330,1273300,1405830,503000,562533,619920,30481100,34037700,37542200,22678400,25410800,28044000,7802710,8626840,9498240,5603180,6226360,6866840,3779400,4198920,4633770,1823770,2027450,2233070
4,Europe - Western,SPAIN,ASCO,2,41.2,0.56667,271854000,287134000,308922000,190825000,200465000,215092000,81029500,86668900,93830000,52259.6,52798.8,59487.4,6175.11,6217.22,7005.19,46084.4,46581.6,52482.2,849379,884514,996212,526660,552737,622489,322719,331777,373722,6124550,6282850,7074890,5224790,5360780,6038210,899758,922070,1036680,51672500,54943800,61100300,36615500,39068900,43505600,15057000,15874900,17594700,14398500,15095600,16830700,11215400,11773600,13151300,3183180,3322050,3679470
5,America - Latin,ARGENTINA,ATUCHA,2,-33.968002,-59.20374,60272900,68789800,76396900,41416000,47098100,52126500,18857000,21691700,24270400,133755,147876,162171,119490,132304,145130,14265.3,15571.5,17041.6,1598790,1747870,1922590,1254020,1370370,1507550,344765,377500,415039,12958400,14114800,15525900,11962600,13028900,14334700,995738,1085900,1191180,26158200,28768900,31350300,22214000,24477300,26679800,3944250,4291650,4670460,17957600,19753900,21564000,15803600,17419400,19019600,2153960,2334490,2544440
6,Europe - Western,GERMANY,AVR,1,50.903056,6.421111,377877000,387602000,400550000,265023000,272376000,282369000,112854000,115226000,118180000,1562750,1623110,1623720,1445010,1500940,1501580,117742,122169,122144,10809200,11209400,11299200,9950230,10313400,10387900,859011,895997,911326,27825400,29012000,29541900,23166100,24127400,24545100,4659330,4884570,4996880,182292000,187871000,193304000,136976000,141133000,145445000,45316500,46737800,47859400,71747700,75061700,76803300,55377400,57904900,59294500,16370200,17156800,17508800
7,Europe - Central and Eastern,RUSSIAN FEDERATION,BALAKOVO,4,52.092935,47.956762,137788000,136185000,129784000,92615900,92134600,87875800,45171800,44049900,41908300,275014,246607,234966,245438,219935,209575,29576.1,26671.4,25390.6,561456,504864,481221,372543,334194,318818,188913,170671,162403,1896020,2049130,1959450,1259420,1442300,1382380,636601,606827,577073,28705600,30874600,29625500,17945900,19774400,19006500,10759800,11100200,10619100,8561830,8735520,8403590,6178510,6399860,6163900,2383320,2335660,2239690
8,Europe - Western,SWEDEN,BARSEBACK,2,55.744444,12.920833,346757000,353269000,359403000,238723000,243731000,249219000,108034000,109538000,110184000,1311470,1367250,1414410,1222550,1274750,1318480,88914.3,92493.3,95933.2,2714440,2835740,2936350,2191580,2289930,2368480,522852,545807,567875,3715050,3860280,3995040,2661080,2772560,2868140,1053980,1087720,1126890,72790700,74017600,74669600,47823700,48839400,49345000,24967000,25178200,25324500,14322300,14656900,14944100,9002990,9274470,9472210,5319330,5382410,5471870
9,America - Northern,UNITED STATES OF AMERICA,BEAVER VALLEY,2,40.6219,-80.4339,169815000,184040000,203113000,139640000,151337000,167095000,30175100,32703400,36018200,405510,402735,444309,328667,326418,360114,76843.1,76317.3,84195.5,3099760,3095980,3415270,2647590,2643640,2916370,452170,452341,498899,7837650,7883460,8699940,6439920,6480750,7153990,1397720,1402700,1545950,94368900,100718000,111170000,79325600,84681600,93507600,15043300,16036200,17662400,20035700,20656500,22782900,16166600,16717800,18444000,3869130,3938730,4338890
10,Europe - Central and Eastern,BULGARIA,BELENE,2,43.62944,25.189345,293388000,298116000,301376000,172239000,176060000,178987000,121149000,122056000,122389000,219381,198844,187709,77388.3,70256.9,66362.6,141992,128587,121347,1591650,1451020,1369220,756073,686426,646480,835574,764590,722744,8413960,7682390,7294060,5087750,4629260,4408830,3326210,3053130,2885240,84309900,86968900,87086600,44944400,47217900,47867700,39365600,39751000,39218800,24514200,22983200,21954200,13487600,12560200,11997600,11026600,10423000,9956550
11,Europe - Western,FRANCE,BELLEVILLE,2,47.5075,2.8775,357202000,367682000,384157000,258168000,266086000,278443000,99034200,101595000,105713000,93007.3,94087.6,99715.4,25601.3,25897.4,27445.7,67406,68190.2,72269.7,859988,868248,920199,426691,429366,455071,433297,438883,465129,6310730,6429430,6815150,4603280,4699310,4981830,1707450,1730110,1833330,160330000,166523000,173629000,121886000,126423000,131836000,38444100,40100500,41793200,30802000,31568500,33466400,22370100,22946300,24327500,8431850,8622210,9138920
12,Europe - Central and Eastern,RUSSIAN FEDERATION,BELOYARSKY,4,56.85,61.3167,54137000,55356600,53607400,33817200,35369300,34247900,20319800,19987300,19359500,354917,342104,328525,336843,324829,311993,18074,17275.3,16531.9,2497290,2413990,2319770,2295560,2220470,2134520,201735,193514,185246,4090080,3976580,3814180,3417400,3325740,3192700,672680,650841,621489,23352000,22655000,21833400,15677100,15253800,14690800,7674870,7401260,7142630,9629590,9448380,9052930,7315050,7206510,6918400,2314540,2241870,2134530
13,Europe - Western,UNITED KINGDOM,BERKELEY,2,51.6925,-2.493611,274045000,282932000,295143000,204656000,211393000,220634000,69389800,71539100,74509000,919885,933832,980568,651829,661712,694829,268056,272120,285739,4161570,4248630,4462070,2892900,2957420,3106320,1268670,1291220,1355740,18171900,18668600,19610500,14887500,15308800,16083000,3284420,3359790,3527480,111509000,115476000,122129000,90924600,94071000,99356100,20584500,21405100,22772400,48228300,49608700,52144200,41018800,42193800,44345700,7209460,7414880,7798490
14,Europe - Western,SWITZERLAND,BEZNAU,2,47.552148,8.228175,403241000,412686000,425379000,278493000,285591000,295673000,124748000,127095000,129707000,966786,1036220,1091490,705404,757289,799963,261382,278933,291528,5227290,5588150,5848000,3567680,3815060,4001960,1659620,1773080,1846040,12792600,13665000,14172900,7821480,8357740,8692400,4971070,5307210,5480520,178583000,184027000,190063000,129476000,133402000,137892000,49107100,50625200,52170900,51820800,54299600,55934500,36024800,37677700,38836900,15796000,16621900,17097600
15,Europe - Western,GERMANY,BIBLIS,2,49.709305,8.414744,401883000,411272000,423496000,278201000,285373000,295199000,123681000,125898000,128297000,1417970,1507860,1502600,1056210,1123170,1119250,361755,384689,383347,6892210,7282490,7257690,4963130,5238920,5220750,1929080,2043570,2036950,19318100,20448200,20470900,12430200,13163800,13179800,6887920,7284340,7291090,187800000,193281000,198766000,135698000,139659000,143786000,52101600,53622300,54980300,67225800,70487100,71265900,48039700,50422700,50964600,19186100,20064400,20301300
16,America - Northern,UNITED STATES OF AMERICA,BIG ROCK POINT,1,45.358889,-85.197222,157140000,167851000,185250000,129892000,138794000,153255000,27248100,29056900,31995300,47833.6,49856.5,54643.1,29287.8,30605.4,33538.2,18545.8,19251.1,21104.8,184289,192899,211402,89689.2,93985.9,102993,94599.5,98913.1,108409,580067,608040,666867,284728,298842,328040,295338,309198,338827,43008400,46712000,51572300,36478600,39809300,43971300,6529770,6902740,7601050,4465530,4700450,5175490,3104160,3262970,3595160,1361370,1437490,1580330
17,Europe - Central and Eastern,RUSSIAN FEDERATION,BILIBINO,4,68.050658,166.539698,355876,326037,303458,21712.5,15923.1,15459.4,334164,310114,287999,305.183,288.958,275.935,0.2834,0.266521,0.254112,304.9,288.692,275.681,2505.34,2450.94,2334.34,0.2834,0.266521,0.254112,2505.05,2450.68,2334.08,10966.2,11085.9,10555.4,0.2834,0.266521,0.254112,10965.9,11085.6,10555.2,78535.9,84337.6,78982.6,1.00481,0.916584,0.851525,78534.9,84336.7,78981.7,35863.9,36419.6,34535.7,0.797099,0.734884,0.687429,35863.1,36418.9,34535
18,Europe - Western,FRANCE,BLAYAIS,4,45.255907,-0.691883,324571000,338985000,359742000,236215000,246307000,260924000,88356200,92678100,98817600,123094,130964,138711,27693.4,29473,31217.7,95401,101491,107493,1439210,1533530,1625600,992987,1060680,1124610,446224,472841,500995,3052570,3198710,3390720,1712700,1806560,1915210,1339870,1392150,1475520,66468400,68897300,74313800,48743700,50612300,54696600,17724700,18285000,19617200,13452700,13956500,14949600,8347400,8659480,9316390,5105310,5296980,5633180
19,,KAZAKHSTAN,BN-350,1,43.607,51.283,121497000,133770000,142928000,70343000,77032600,81631700,51153700,56737400,61296000,49687.9,158157,167590,40625.7,129312,137025,9062.17,28844.9,30565.4,54288.9,163930,173642,40625.7,129312,137025,13663.3,34618.6,36617.7,152033,229890,242960,40625.7,129312,137025,111407,100578,105936,16098500,17070600,17503600,7733110,8178190,8276950,8365380,8892430,9226690,265382,337986,352088,66567.4,152558,159380,198814,185428,192708
20,Europe - Central and Eastern,SLOVAK REPUBLIC,BOHUNICE,5,48.494444,17.681944,404398000,408678000,411500000,257504000,261322000,264704000,146894000,147357000,146796000,363231,375246,380731,138569,143180,145272,224662,232066,235459,2459420,2539280,2577920,1215080,1257050,1276280,1244340,1282230,1301630,10362900,10830300,11017500,6245350,6546970,6690500,4117570,4283340,4327010,130587000,130588000,129958000,71603600,71664400,71527100,58983500,58923500,58430500,38248900,38802100,38974400,21470100,21686700,21843800,16778800,17115400,17130600
21,America - Northern,UNITED STATES OF AMERICA,BONUS,1,18.366389,-67.268611,48677600,56999000,65235000,29929600,34791900,39600100,18748000,22207100,25634900,290708,306038,319913,286707,301828,315512,4000.37,4209.97,4400.77,944526,1028090,1077300,907728,987393,1034590,36798.2,40697.4,42710.9,3343220,3621520,3797900,3242440,3509590,3676050,100786,111935,121854,16583200,19628400,22431000,9557320,11078300,12445100,7025830,8550130,9985910,7205840,8025120,8852240,6098380,6759000,7396900,1107460,1266120,1455350
22,Europe - Western,NETHERLANDS,BORSSELE,1,51.431623,3.717595,346709000,356769000,369786000,249486000,256856000,266777000,97223100,99912800,103009000,424138,439182,459171,282242,292244,305539,141895,146939,153632,5297620,5467160,5734860,4593140,4740430,4973020,704475,726739,761843,21618600,22448900,23574600,18530500,19238200,20202400,3088150,3210740,3372200,175806000,182443000,188762000,135419000,140520000,145575000,40387700,41922400,43186600,69169200,71577800,74399800,58612600,60578100,62928000,10556600,10999600,11471800
23,Europe - Western,UNITED KINGDOM,BRADWELL,2,51.741389,0.896944,311498000,321056000,334349000,228400000,235473000,245565000,83097700,85582900,88784400,814133,825746,867585,606208,615301,646492,207925,210445,221093,7332110,7435970,7813190,6603660,6690260,7030270,728456,745704,782924,19866200,20113500,21138200,17428400,17612300,18511000,2437750,2501160,2627130,148458000,154113000,160882000,119709000,124169000,129610000,28749300,29943500,31271700,62678800,64530100,67825700,53245600,54819500,57614400,9433170,9710600,10211300
